error_type,record_id,stock_code,date,event_type,investor_name,source_page,evidence_text
FN,GOLD-301563-2015-08-005,301563,2015-08,增资,富海深湾（深圳）移动创新私募创业投资基金合伙企业（有限合伙）,PDF p1,"深创投、丰利财富、镇江红土、昆山红土、富海深湾、芜湖富海共同增资158.2733万元，注册资本增至2,158.2733万元。丰利财富代表其管理的丰利新三板基金投资，投资总额1,000万元。B轮投资协议约定了2015年、2016年、2017-2018年业绩承诺及上市承诺。"
FN,GOLD-301563-2015-12-03-001,301563,2015-12-03,其他,曾烨,PDF p1,"2015年10月15日，全体发起人签署《发起人协议书》。有限公司将经审计净资产额45,010,412.64元按1.1253:1的比例折成4,000万股，每股面值1元，其余5,010,412.64元计入资本公积。2015年12月3日，上海市工商行政管理局核准。"
FN,GOLD-301563-2015-12-03-002,301563,2015-12-03,其他,刘云锋,PDF p1,"2015年10月15日，全体发起人签署《发起人协议书》。有限公司将经审计净资产额45,010,412.64元按1.1253:1的比例折成4,000万股，每股面值1元，其余5,010,412.64元计入资本公积。2015年12月3日，上海市工商行政管理局核准。"
FN,GOLD-301563-2015-12-03-003,301563,2015-12-03,其他,武汉力源信息技术股份有限公司,PDF p1,"2015年10月15日，全体发起人签署《发起人协议书》。有限公司将经审计净资产额45,010,412.64元按1.1253:1的比例折成4,000万股，每股面值1元，其余5,010,412.64元计入资本公积。2015年12月3日，上海市工商行政管理局核准。"
FN,GOLD-301563-2018-06-28-001,301563,2018-06-28,增资及股权转让,国科瑞华（北京）创业投资合伙企业（有限合伙）,PDF p1,"2018年6月12日，国科瑞华以现金7,412万元认缴新增注册资本254.4787万元；CASREV FUND以1,800万元等值美元认缴61.8万元；中科贵银以1,584万元认缴54.384万元；夏东以204万元认缴7.004万元；南山富海以3,000万元认缴103万元；珠海拓域以1,000万元认缴34.3333万元。每股价格约29.13元，对应投后估值约13.5亿元。注册资本增至4,635万元。"
FN,GOLD-301563-2018-06-28-002,301563,2018-06-28,增资及股权转让,CASREV FUND,PDF p1,"2018年6月12日，国科瑞华以现金7,412万元认缴新增注册资本254.4787万元；CASREV FUND以1,800万元等值美元认缴61.8万元；中科贵银以1,584万元认缴54.384万元；夏东以204万元认缴7.004万元；南山富海以3,000万元认缴103万元；珠海拓域以1,000万元认缴34.3333万元。每股价格约29.13元，对应投后估值约13.5亿元。注册资本增至4,635万元。"
FN,GOLD-301563-2018-06-28-003,301563,2018-06-28,增资及股权转让,中科贵银（贵州）创业投资中心（有限合伙）,PDF p1,"2018年6月12日，国科瑞华以现金7,412万元认缴新增注册资本254.4787万元；CASREV FUND以1,800万元等值美元认缴61.8万元；中科贵银以1,584万元认缴54.384万元；夏东以204万元认缴7.004万元；南山富海以3,000万元认缴103万元；珠海拓域以1,000万元认缴34.3333万元。每股价格约29.13元，对应投后估值约13.5亿元。注册资本增至4,635万元。"
FN,GOLD-301563-2018-06-28-004,301563,2018-06-28,增资及股权转让,深圳南山富海中小企业发展基金合伙企业（有限合伙）,PDF p1,"2018年6月12日，国科瑞华以现金7,412万元认缴新增注册资本254.4787万元；CASREV FUND以1,800万元等值美元认缴61.8万元；中科贵银以1,584万元认缴54.384万元；夏东以204万元认缴7.004万元；南山富海以3,000万元认缴103万元；珠海拓域以1,000万元认缴34.3333万元。每股价格约29.13元，对应投后估值约13.5亿元。注册资本增至4,635万元。"
FN,GOLD-301563-2018-06-28-005,301563,2018-06-28,增资及股权转让,珠海拓域投资合伙企业（有限合伙）,PDF p1,"2018年6月12日，国科瑞华以现金7,412万元认缴新增注册资本254.4787万元；CASREV FUND以1,800万元等值美元认缴61.8万元；中科贵银以1,584万元认缴54.384万元；夏东以204万元认缴7.004万元；南山富海以3,000万元认缴103万元；珠海拓域以1,000万元认缴34.3333万元。每股价格约29.13元，对应投后估值约13.5亿元。注册资本增至4,635万元。"
FN,GOLD-301563-2018-06-28-006,301563,2018-06-28,增资及股权转让,夏东,PDF p1,"2018年6月12日，国科瑞华以现金7,412万元认缴新增注册资本254.4787万元；CASREV FUND以1,800万元等值美元认缴61.8万元；中科贵银以1,584万元认缴54.384万元；夏东以204万元认缴7.004万元；南山富海以3,000万元认缴103万元；珠海拓域以1,000万元认缴34.3333万元。每股价格约29.13元，对应投后估值约13.5亿元。注册资本增至4,635万元。"
FN,GOLD-301563-2020-05-28-001,301563,2020-05-28,增资,火炬电子科技股份有限公司,PDF p1,"2020年5月20日召开临时股东大会，同意注册资本由4,635万元增至4,748.0488万元。火炬电子以现金5,000万元认购新增股份113.0488万股，每股价格约44.23元，对应投后估值约21亿元。"
FN,GOLD-301563-2020-09-23-001,301563,2020-09-23,增资及股权转让,厦门西堤股权投资合伙企业（有限合伙）,PDF p1,"2020年9月15日召开临时股东大会，同意注册资本由4,748.0488万元增至4,883.7074万元。厦门西堤以5,000万元认购96.899万股，中小企业基金以2,000万元认购38.7596万股。每股价格约51.6元，对应投后估值约25.2亿元。"
FN,GOLD-301563-2020-09-23-002,301563,2020-09-23,增资及股权转让,中小企业发展基金（深圳有限合伙）,PDF p1,"2020年9月15日召开临时股东大会，同意注册资本由4,748.0488万元增至4,883.7074万元。厦门西堤以5,000万元认购96.899万股，中小企业基金以2,000万元认购38.7596万股。每股价格约51.6元，对应投后估值约25.2亿元。"
FN,GOLD-301581-2012-06-12-001,301581,2012-06-12,增资,昆山谷捷金属制品有限公司,PDF p1,"2012年4月11日，黄山市供销社出具《关于同意投资昆山谷捷项目的批复》（黄供财[2012]22号），同意设立谷捷有限。2012年5月28日，谷捷有限股东昆山谷捷作出股东决定，同意由昆山谷捷出资1,000万元设立谷捷有限。2012年6月12日，安徽天正达会计师事务所出具《验资报告》，确认谷捷有限已收到昆山谷捷缴纳的注册资本1,000万元，出资方式为货币。设立时昆山谷捷持股100%。"
FN,GOLD-301581-2021-04-13-001,301581,2021-04-13,其他,黄山供销集团有限公司,PDF p1,"2020年12月24日，谷捷有限及昆山谷捷召开股东会，同意谷捷有限吸收合并昆山谷捷。2021年4月7日，谷捷有限召开股东会，吸收合并后注册资本变更为1,200万元（黄山供销集团936万、张俊武132万、周斌132万）。本次吸收合并系同一股权结构下的公司架构调整。截至2021年3月31日，昆山谷捷净资产账面价值380.94万元，谷捷有限净资产账面价值2,912.30万元，评估价值9,651.75万元。"
FN,GOLD-301581-2021-04-13-002,301581,2021-04-13,其他,张俊武,PDF p1,"2020年12月24日，谷捷有限及昆山谷捷召开股东会，同意谷捷有限吸收合并昆山谷捷。2021年4月7日，谷捷有限召开股东会，吸收合并后注册资本变更为1,200万元（黄山供销集团936万、张俊武132万、周斌132万）。本次吸收合并系同一股权结构下的公司架构调整。截至2021年3月31日，昆山谷捷净资产账面价值380.94万元，谷捷有限净资产账面价值2,912.30万元，评估价值9,651.75万元。"
FN,GOLD-301581-2021-04-13-003,301581,2021-04-13,其他,周斌,PDF p1,"2020年12月24日，谷捷有限及昆山谷捷召开股东会，同意谷捷有限吸收合并昆山谷捷。2021年4月7日，谷捷有限召开股东会，吸收合并后注册资本变更为1,200万元（黄山供销集团936万、张俊武132万、周斌132万）。本次吸收合并系同一股权结构下的公司架构调整。截至2021年3月31日，昆山谷捷净资产账面价值380.94万元，谷捷有限净资产账面价值2,912.30万元，评估价值9,651.75万元。"
FN,GOLD-301581-2021-11-11-001,301581,2021-11-11,增资,上海广弘实业有限公司,PDF p1,2021年9月18日，赛格高技术、上汽科技与黄山供销集团、张俊武、周斌及谷捷有限签署《增资协议》，约定谷捷有限增加注册资本514.2857万元，其中赛格高技术认缴462.8571万元、上汽科技认缴51.4286万元，增资价格为22.42元/注册资本，出资方式为货币。增资后：黄山供销集团54.60%、赛格高技术27.00%、张俊武7.70%、周斌7.70%、上汽科技3.00%。
FN,GOLD-301581-2021-11-11-002,301581,2021-11-11,增资,"SAIC TECHNOLOGIES FUND II, LLC",PDF p1,2021年9月18日，赛格高技术、上汽科技与黄山供销集团、张俊武、周斌及谷捷有限签署《增资协议》，约定谷捷有限增加注册资本514.2857万元，其中赛格高技术认缴462.8571万元、上汽科技认缴51.4286万元，增资价格为22.42元/注册资本，出资方式为货币。增资后：黄山供销集团54.60%、赛格高技术27.00%、张俊武7.70%、周斌7.70%、上汽科技3.00%。
FN,GOLD-301581-2022-05-26-001,301581,2022-05-26,增资,黄山佳捷股权管理中心（有限合伙）,PDF p1,"2022年5月20日，谷捷有限召开股东会，同意注册资本由1,714.2857万元增至1,804.5113万元，新增注册资本90.2256万元由员工持股平台黄山佳捷全额认缴。增资价格为23.55元/注册资本，出资方式为货币。增资后：黄山供销集团51.87%、赛格高技术25.65%、张俊武7.315%、周斌7.315%、黄山佳捷5.00%、上汽科技2.85%。"
FN,GOLD-301581-2022-09-13-001,301581,2022-09-13,其他,黄山供销集团有限公司,PDF p1,"2022年8月24日，谷捷有限召开股东会，同意以截至2022年5月31日经审计的净资产20,152.51万元按1:0.29773比例折成6,000万股，每股面值1元，净资产余额14,152.51万元转为资本公积，整体变更后各股东持股比例保持不变。2022年9月13日取得换发营业执照。"
FN,GOLD-301581-2022-09-13-002,301581,2022-09-13,其他,上海广弘实业有限公司,PDF p1,"2022年8月24日，谷捷有限召开股东会，同意以截至2022年5月31日经审计的净资产20,152.51万元按1:0.29773比例折成6,000万股，每股面值1元，净资产余额14,152.51万元转为资本公积，整体变更后各股东持股比例保持不变。2022年9月13日取得换发营业执照。"
FN,GOLD-301581-2022-09-13-003,301581,2022-09-13,其他,张俊武,PDF p1,"2022年8月24日，谷捷有限召开股东会，同意以截至2022年5月31日经审计的净资产20,152.51万元按1:0.29773比例折成6,000万股，每股面值1元，净资产余额14,152.51万元转为资本公积，整体变更后各股东持股比例保持不变。2022年9月13日取得换发营业执照。"
FN,GOLD-301581-2022-09-13-004,301581,2022-09-13,其他,周斌,PDF p1,"2022年8月24日，谷捷有限召开股东会，同意以截至2022年5月31日经审计的净资产20,152.51万元按1:0.29773比例折成6,000万股，每股面值1元，净资产余额14,152.51万元转为资本公积，整体变更后各股东持股比例保持不变。2022年9月13日取得换发营业执照。"
FN,GOLD-301581-2022-09-13-005,301581,2022-09-13,其他,黄山佳捷股权管理中心（有限合伙）,PDF p1,"2022年8月24日，谷捷有限召开股东会，同意以截至2022年5月31日经审计的净资产20,152.51万元按1:0.29773比例折成6,000万股，每股面值1元，净资产余额14,152.51万元转为资本公积，整体变更后各股东持股比例保持不变。2022年9月13日取得换发营业执照。"
FN,GOLD-301581-2022-09-13-006,301581,2022-09-13,其他,"SAIC TECHNOLOGIES FUND II, LLC",PDF p1,"2022年8月24日，谷捷有限召开股东会，同意以截至2022年5月31日经审计的净资产20,152.51万元按1:0.29773比例折成6,000万股，每股面值1元，净资产余额14,152.51万元转为资本公积，整体变更后各股东持股比例保持不变。2022年9月13日取得换发营业执照。"
FN,GOLD-603418-1992-12-04-001,603418,1992-12-04,设立,上海市青浦县徐泾乡工业公司,PDF p40-42,友升有限成立于1992年12月4日，由徐泾工业公司、友升太平洋美国共同出资设立的中外合资有限责任公司，注册资本为400万美元。徐泾工业公司出资240万美元(60%)，友升太平洋美国出资160万美元(40%)。上海青浦会计师事务所分别于1993年8月20日、1996年12月31日出具验资报告，确认友升有限400万美元注册资金已全部到位。
FN,GOLD-603418-1992-12-04-002,603418,1992-12-04,设立,友升太平洋(美国)投资有限公司,PDF p40-42,友升有限成立于1992年12月4日，由徐泾工业公司、友升太平洋美国共同出资设立的中外合资有限责任公司，注册资本为400万美元。徐泾工业公司出资240万美元(60%)，友升太平洋美国出资160万美元(40%)。上海青浦会计师事务所分别于1993年8月20日、1996年12月31日出具验资报告，确认友升有限400万美元注册资金已全部到位。
FN,GOLD-603418-2020-09-09-001,603418,2020-09-09,整体变更,上海泽升贸易有限公司,PDF p41-42,"公司由上海友升铝业有限公司整体变更设立。根据会计师出具的《审计报告》，友升有限截至2020年5月31日的净资产为40,482.37万元。以友升有限截至2020年5月31日的净资产40,482.37万元按3.3735:1的比例折合股本12,000.00万元（每股面值1.00元）。泽升贸易8,976.00万股(74.80%)，达晨创联基金1,800.00万股(15.00%)，共青城泽升1,020.00万股(8.50%)，罗世兵204.00万股(1.70%)。"
FN,GOLD-603418-2020-09-09-002,603418,2020-09-09,整体变更,深圳市达晨创联私募股权投资基金合伙企业(有限合伙),PDF p41-42,"公司由上海友升铝业有限公司整体变更设立。根据会计师出具的《审计报告》，友升有限截至2020年5月31日的净资产为40,482.37万元。以友升有限截至2020年5月31日的净资产40,482.37万元按3.3735:1的比例折合股本12,000.00万元（每股面值1.00元）。泽升贸易8,976.00万股(74.80%)，达晨创联基金1,800.00万股(15.00%)，共青城泽升1,020.00万股(8.50%)，罗世兵204.00万股(1.70%)。"
FN,GOLD-603418-2020-09-09-003,603418,2020-09-09,整体变更,共青城泽升投资管理合伙企业(有限合伙),PDF p41-42,"公司由上海友升铝业有限公司整体变更设立。根据会计师出具的《审计报告》，友升有限截至2020年5月31日的净资产为40,482.37万元。以友升有限截至2020年5月31日的净资产40,482.37万元按3.3735:1的比例折合股本12,000.00万元（每股面值1.00元）。泽升贸易8,976.00万股(74.80%)，达晨创联基金1,800.00万股(15.00%)，共青城泽升1,020.00万股(8.50%)，罗世兵204.00万股(1.70%)。"
FN,GOLD-603418-2020-09-09-004,603418,2020-09-09,整体变更,罗世兵,PDF p41-42,"公司由上海友升铝业有限公司整体变更设立。根据会计师出具的《审计报告》，友升有限截至2020年5月31日的净资产为40,482.37万元。以友升有限截至2020年5月31日的净资产40,482.37万元按3.3735:1的比例折合股本12,000.00万元（每股面值1.00元）。泽升贸易8,976.00万股(74.80%)，达晨创联基金1,800.00万股(15.00%)，共青城泽升1,020.00万股(8.50%)，罗世兵204.00万股(1.70%)。"
FN,GOLD-603418-2020-09-27-001,603418,2020-09-27,增资,上海金浦临港智能科技股权投资基金合伙企业(有限合伙),PDF p42-43,"2020年9月，金浦临港基金、金浦科创基金和上海骁墨与本次增资前公司股东签署《投资协议》，约定金浦临港基金、金浦科创基金和上海骁墨分别以7,000万元、3,000万元和1,500万元认购发行人新增注册资本840万元、360万元和180万元。新增股份的认购价格为8.3333元/股。2020年9月30日完成工商变更。"
FN,GOLD-603418-2020-09-27-002,603418,2020-09-27,增资,上海金浦科技创业股权投资基金合伙企业(有限合伙),PDF p42-43,"2020年9月，金浦临港基金、金浦科创基金和上海骁墨与本次增资前公司股东签署《投资协议》，约定金浦临港基金、金浦科创基金和上海骁墨分别以7,000万元、3,000万元和1,500万元认购发行人新增注册资本840万元、360万元和180万元。新增股份的认购价格为8.3333元/股。2020年9月30日完成工商变更。"
FN,GOLD-603418-2020-09-27-003,603418,2020-09-27,增资,上海骁墨信息技术服务中心(有限合伙),PDF p42-43,"2020年9月，金浦临港基金、金浦科创基金和上海骁墨与本次增资前公司股东签署《投资协议》，约定金浦临港基金、金浦科创基金和上海骁墨分别以7,000万元、3,000万元和1,500万元认购发行人新增注册资本840万元、360万元和180万元。新增股份的认购价格为8.3333元/股。2020年9月30日完成工商变更。"
FN,GOLD-603418-2022-12-19-001,603418,2022-12-19,增资,深圳市杉晖创业投资合伙企业(有限合伙),PDF p43-45,"2022年12月4日，友升股份召开第一届董事会第十六次会议，同意增加注册资本至14,480.1333万元，新增股份的认购价格为33.6323元/股。杉晖创业认购297.3333万股(10,000万元)，上海联炻认购297.3333万股(10,000万元)，安吉璞颉认购148.6667万股(5,000万元)，财投晨源认购89.2万股(3,000万元)，深圳达晨创程认购86.5984万股(2,912.5万元)，杉创智至认购59.4667万股(2,000万元)，杭州达晨创程认购51.959万股(1,747.5万元)，达晨财汇认购29.7333万股(1,000万元)，达晨财智认购29.7333万股(1,000万元)，财智创赢认购10.1093万股(340万元)。合计1,100.1333万股，37,000万元。"
FN,GOLD-603418-2022-12-19-002,603418,2022-12-19,增资,上海联炻企业管理中心(有限合伙),PDF p43-45,"2022年12月4日，友升股份召开第一届董事会第十六次会议，同意增加注册资本至14,480.1333万元，新增股份的认购价格为33.6323元/股。杉晖创业认购297.3333万股(10,000万元)，上海联炻认购297.3333万股(10,000万元)，安吉璞颉认购148.6667万股(5,000万元)，财投晨源认购89.2万股(3,000万元)，深圳达晨创程认购86.5984万股(2,912.5万元)，杉创智至认购59.4667万股(2,000万元)，杭州达晨创程认购51.959万股(1,747.5万元)，达晨财汇认购29.7333万股(1,000万元)，达晨财智认购29.7333万股(1,000万元)，财智创赢认购10.1093万股(340万元)。合计1,100.1333万股，37,000万元。"
FN,GOLD-603418-2022-12-19-003,603418,2022-12-19,增资,安吉璞颉企业管理合伙企业(有限合伙),PDF p43-45,"2022年12月4日，友升股份召开第一届董事会第十六次会议，同意增加注册资本至14,480.1333万元，新增股份的认购价格为33.6323元/股。杉晖创业认购297.3333万股(10,000万元)，上海联炻认购297.3333万股(10,000万元)，安吉璞颉认购148.6667万股(5,000万元)，财投晨源认购89.2万股(3,000万元)，深圳达晨创程认购86.5984万股(2,912.5万元)，杉创智至认购59.4667万股(2,000万元)，杭州达晨创程认购51.959万股(1,747.5万元)，达晨财汇认购29.7333万股(1,000万元)，达晨财智认购29.7333万股(1,000万元)，财智创赢认购10.1093万股(340万元)。合计1,100.1333万股，37,000万元。"
FN,GOLD-603418-2022-12-19-004,603418,2022-12-19,增资,江西赣江新区财投晨源股权投资中心(有限合伙),PDF p43-45,"2022年12月4日，友升股份召开第一届董事会第十六次会议，同意增加注册资本至14,480.1333万元，新增股份的认购价格为33.6323元/股。杉晖创业认购297.3333万股(10,000万元)，上海联炻认购297.3333万股(10,000万元)，安吉璞颉认购148.6667万股(5,000万元)，财投晨源认购89.2万股(3,000万元)，深圳达晨创程认购86.5984万股(2,912.5万元)，杉创智至认购59.4667万股(2,000万元)，杭州达晨创程认购51.959万股(1,747.5万元)，达晨财汇认购29.7333万股(1,000万元)，达晨财智认购29.7333万股(1,000万元)，财智创赢认购10.1093万股(340万元)。合计1,100.1333万股，37,000万元。"
FN,GOLD-603418-2022-12-19-005,603418,2022-12-19,增资,深圳市达晨创程私募股权投资基金企业(有限合伙),PDF p43-45,"2022年12月4日，友升股份召开第一届董事会第十六次会议，同意增加注册资本至14,480.1333万元，新增股份的认购价格为33.6323元/股。杉晖创业认购297.3333万股(10,000万元)，上海联炻认购297.3333万股(10,000万元)，安吉璞颉认购148.6667万股(5,000万元)，财投晨源认购89.2万股(3,000万元)，深圳达晨创程认购86.5984万股(2,912.5万元)，杉创智至认购59.4667万股(2,000万元)，杭州达晨创程认购51.959万股(1,747.5万元)，达晨财汇认购29.7333万股(1,000万元)，达晨财智认购29.7333万股(1,000万元)，财智创赢认购10.1093万股(340万元)。合计1,100.1333万股，37,000万元。"
